stock_name,ts_code,case_year,theme,case_type,source_title,source_url,source_date,source_type,source_confidence,approximate_start_date,approximate_end_date,source_note,article_id
深中华A,000017.SZ,2024,国改,continuous_limit_up,2024月度妖股线索示例A,https://example.com/article/2024-01,2024-02-20,manual_search_result,0.6,2024-01-01,2026-05-13,placeholder article seed,art_2024_001
克来机电,603960.SH,2024,国改,continuous_limit_up,2024月度妖股线索示例A,https://example.com/article/2024-01,2024-02-20,manual_search_result,0.6,2024-01-01,2026-05-13,placeholder article seed,art_2024_001
正丹股份,300641.SZ,2024,国改,continuous_limit_up,2024月度妖股线索示例A,https://example.com/article/2024-01,2024-02-20,manual_search_result,0.6,2024-01-01,2026-05-13,placeholder article seed,art_2024_001
大众交通,600611.SH,2024,无人驾驶,second_wave,2024月度妖股线索示例B,https://example.com/article/2024-02,2024-07-20,manual_search_result,0.6,2024-01-01,2026-05-13,placeholder article seed,art_2024_002
深圳华强,000062.SZ,2024,无人驾驶,second_wave,2024月度妖股线索示例B,https://example.com/article/2024-02,2024-07-20,manual_search_result,0.6,2024-01-01,2026-05-13,placeholder article seed,art_2024_002
常山北明,000158.SZ,2024,无人驾驶,second_wave,2024月度妖股线索示例B,https://example.com/article/2024-02,2024-07-20,manual_search_result,0.6,2024-01-01,2026-05-13,placeholder article seed,art_2024_002
英力股份,300956.SZ,2024,AI,weak_to_strong,2024趋势与高波动线索,https://example.com/article/2024-03,2024-09-15,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2024_003
逸豪新材,301176.SZ,2024,AI,weak_to_strong,2024趋势与高波动线索,https://example.com/article/2024-03,2024-09-15,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2024_003
银之杰,300085.SZ,2024,AI,weak_to_strong,2024趋势与高波动线索,https://example.com/article/2024-03,2024-09-15,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2024_003
光智科技,300489.SZ,2024,AI,weak_to_strong,2024趋势与高波动线索,https://example.com/article/2024-03,2024-09-15,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2024_003
