article_id,source_title,source_url,source_date,source_type,source_confidence,mentioned_stocks,mentioned_ts_codes,mentioned_themes,mentioned_case_types,notes
art_2024_001,2024月度妖股线索示例A,https://example.com/article/2024-01,2024-02-20,manual_search_result,0.6,深中华A|克来机电|正丹股份,000017.SZ|603960.SH|300641.SZ,国改|AI|化工,continuous_limit_up|second_wave,placeholder article seed
art_2024_002,2024月度妖股线索示例B,https://example.com/article/2024-02,2024-07-20,manual_search_result,0.6,大众交通|深圳华强|常山北明,600611.SH|000062.SZ|000158.SZ,无人驾驶|华为,second_wave|weak_to_strong,placeholder article seed
art_2024_003,2024趋势与高波动线索,https://example.com/article/2024-03,2024-09-15,manual_search_result,0.55,英力股份|逸豪新材|银之杰|光智科技,300956.SZ|301176.SZ|300085.SZ|300489.SZ,AI|次新,weak_to_strong|second_wave,placeholder article seed
art_2025_001,2025题材股线索示例A,https://example.com/article/2025-01,2025-04-18,manual_search_result,0.55,上纬新材|天普股份|胜宏科技,688585.SH|605255.SH|300476.SZ,新材料|制造,continuous_limit_up|break_then_reversal,placeholder article seed
art_2025_002,2025题材股线索示例B,https://example.com/article/2025-02,2025-05-08,manual_search_result,0.55,*ST信通|冀东装备|国芳集团|金安国纪,600289.SH|000856.SZ|601086.SH|002636.SZ,重组|军工,weak_to_strong|second_wave,placeholder article seed
art_2025_003,2025地产港口线索示例,https://example.com/article/2025-03,2025-05-28,manual_search_result,0.55,连云港|首开股份|泰慕士|兴业股份,601008.SH|600376.SH|001234.SZ|603928.SH,港口|地产,weak_to_strong|second_wave,placeholder article seed
art_2026_001,2026阶段线索示例,https://example.com/article/2026-01,2026-05-10,manual_search_result,0.5,华电能源|金螳螂,600726.SH|002081.SZ,电力|建筑,continuous_limit_up|weak_to_strong,placeholder article seed
backfill_0075,华电能源2026年3月30日跌停分析,https://finance.sina.com.cn/stock/aiassist/ydfx/2026-03-30/doc-inhstpie9822740.shtml,2026-03-30,sina,0.6,华电能源,600726.SH,,one_day_pump,Seeded from Sina AI assist event page; lower confidence.
backfill_0076,金螳螂股价12天暴涨61%后单日跌4.76%：商业航天仅占不足1%，引发情绪退潮,https://finance.sina.com.cn/stock/csjzbj/2026-05-08/doc-inhxfamx2077891.shtml,2026-05-08,sina,0.7,金螳螂,002081.SZ,,one_day_pump,Seeded from Sina Finance article.
backfill_0047,13连板克来机电再提示风险 不排除部分投资者借概念炒作可能,https://www.stcn.com/article/detail/1131102.html,2024-02-27,stcn,0.78,克来机电,603960.SH,,failed_reversal,Seeded from Securities Times public article.
backfill_0052,互联网金融板块震荡走低，银之杰跌停,https://finance.sina.com.cn/jjxw/2024-10-10/doc-incrzpza8792225.shtml,2024-10-10,sina,0.7,银之杰,300085.SZ,,high_open_low_close_failure,Seeded from Sina Finance / Jiemian relayed news.
backfill_0053,智能网联汽车带飞股价，大众交通涨超245%，多只牛股“泼冷水”,https://finance.sina.com.cn/stock/stockzmt/2024-07-31/doc-incfzpyw6944565.shtml,2024-07-31,sina,0.7,大众交通,600611.SH,,high_open_low_close_failure,Seeded from Sina Finance stock article.
backfill_0073,胜宏科技：AI服务器需求引爆PCB行情，明日或将考验筹码密集区 - 股票复盘网,https://www.fupanwang.com/dsk/300476/2025-04-10.html,2025-04-10,public_article,0.6,胜宏科技,300476.SZ,,high_open_low_close_failure,Seeded from public recap article; use as clue only.
backfill_0074,PCB概念冲高回落 金安国纪跌停,https://www.stcn.com/article/detail/1507028.html,2025-01-23,stcn,0.78,金安国纪,002636.SZ,,high_open_low_close_failure,Seeded from Securities Times public article.
backfill_0054,12连板未果 深中华A炒作“熄火”,https://finance.sina.com.cn/jjxw/2024-01-24/doc-inaervuw1980226.shtml,2024-01-24,sina,0.7,深中华A,000017.SZ,,high_open_low_close_failure,Seeded from Sina Finance relayed article.
backfill_0059,泰慕士盘中上演“天地板” 此前连续5日涨停,https://www.stcn.com/article/detail/3350602.html,2025-09-22,stcn,0.78,泰慕士,001234.SZ,,a_kill_failure,Seeded from Securities Times public article.
backfill_0041,跌停！深圳华强再发风险提示,https://stcn.com/live/video-detail/4839.html,2024-09-09,stcn,0.78,深圳华强,000062.SZ,,a_kill_failure,Seeded from Securities Times live article.
backfill_0060,*ST信通即将复牌！整改未完成将被退市 仅剩2个月！上交所、投服中心出手,https://finance.sina.com.cn/roll/2025-01-12/doc-ineetfvt3698788.shtml,2025-01-12,sina,0.7,*ST信通,600289.SH,,a_kill_failure,Seeded from Sina Finance article.
backfill_0063,机器人概念大幅下挫 冀东装备等多股跌停,https://finance.sina.com.cn/roll/2025-01-27/doc-inehkprf8984455.shtml,2025-01-27,sina,0.7,冀东装备,000856.SZ,,a_kill_failure,Seeded from Sina Finance / CLS relayed news.
backfill_0076,涨停复盘：连板高标疯了！华电辽能19天10板,https://news.qq.com/rain/a/20260512A07K0H00,2026-05-12,news,0.7,金螳螂,002081.SZ,,one_day_pump,User-supplied Tencent recap; contains 金螳螂 15天11板 line.
backfill_0047,2024年月度“妖股”出炉！按这份名单买,https://finance.china.com/jinrong/13004689/20241231/47812601.html,2024-12-31,china_com,0.6,克来机电,603960.SH,,failed_reversal,User-supplied recap source; maps to 克来机电 as 2024 monthly monster-stock case.
backfill_0053,A股五张图：加速“A字杀”,https://wallstreetcn.com/articles/3727694,2024-09-10,wallstreetcn,0.72,大众交通,600611.SH,,high_open_low_close_failure,User-supplied WallstreetCN recap; maps to 大众交通 high-risk collapse context.
backfill_0040,大众交通跌停，上榜营业部合计净买入1401.10万元,https://www.stcn.com/article/detail/1318307.html,2024-09-12,stcn,0.78,大众交通,600611.SH,,a_kill_failure,Securities Times public article; maps to 大众交通 high-level risk / A-kill context.
backfill_0073,2025年A股十大牛股：上纬新材暴涨超18倍，天普股份、海博思创均涨超1200%,https://finance.sina.com.cn/stock/bxjj/2025-12-31/doc-inhesten3689580.shtml,2025-12-31,sina,0.7,胜宏科技,300476.SZ,,high_open_low_close_failure,Sina recap mentioning 胜宏科技 among 2025 top gainers.
backfill_0074,金安国纪跌停，龙虎榜上机构买入489.25万元，卖出2937.63万元,https://www.stcn.com/article/detail/3475904.html,2025-11-03,stcn,0.78,金安国纪,002636.SZ,,high_open_low_close_failure,Securities Times public article; maps to 金安国纪 failure/risk context.
backfill_0054,深中华A躁动：经营业绩惨淡，重整预期撬动11连板,https://finance.sina.com.cn/roll/2024-01-23/doc-inaepnqf7304314.shtml,2024-01-23,sina,0.7,深中华A,000017.SZ,,high_open_low_close_failure,Sina relay of 21st Century report; maps to 深中华A high-open/late-jump risk context.
backfill_0055,英力股份5月21日龙虎榜数据,https://finance.sina.com.cn/stock/relnews/cn/2024-05-21/doc-inavyuwn6684888.shtml,2024-05-21,sina,0.7,英力股份,300956.SZ,,one_day_pump,Sina relay of Securities Times data article; maps to 英力股份 20cm hot-money phase.
backfill_0059,【焦点复盘】科创50一度涨逾5%创近4年新高，全市场超百股 ...,https://wap.eastmoney.com/a/202509243522555271.html,2025-09-24,eastmoney,0.68,泰慕士,001234.SZ,,a_kill_failure,User-supplied Eastmoney recap; maps to 泰慕士 /高位承压 line.
backfill_0041,"最牛""妖股""深圳华强熄火，""拉萨天团""集体闯入，知名游资却在""散货""",https://wallstreetcn.com/livenews/2784351,2024-09-10,wallstreetcn,0.72,深圳华强,000062.SZ,,a_kill_failure,WallstreetCN live note; maps to 深圳华强 post-climax risk.
backfill_0060,一季度十大牛股出炉！榜首竟是......,https://finance.sina.com.cn/roll/2025-03-31/doc-inerpywn3800538.shtml,2025-03-31,sina,0.7,*ST信通,600289.SH,,a_kill_failure,Sina recap mentioning *ST信通 as top Q1 mover; clue for high-risk ST dragon context.
backfill_0066,焦点复盘沪指冲高回落跌0.3%，高位抱团人气股遭遇批量瓦解,https://finance.sina.com.cn/roll/2025-09-19/doc-infqzqqi7881837.shtml,2025-09-19,sina,0.7,首开股份,600376.SH,,a_kill_failure,User-supplied Sina recap; contains 首开股份准天地板/高位风险 context.
art_cls_2024_1853142,【焦点复盘】爆量回吐！沪指高开低走3500点得而复失,https://www.cls.cn/detail/1853142,2024-11-08,cls,0.82,中化岩土|华映科技|华夏幸福|海航控股|双成药业,002542.SZ|000536.SZ|600340.SH|600221.SH|002693.SZ,高位分化|情绪退潮,failed_second_wave|failed_second_wave|failed_second_wave|failed_reversal|failed_second_wave,User-supplied CLS recap with multiple high-level failure and weak-rebound cases.
art_cls_2025_2207484,【焦点复盘】沪指放量长阴失守3900点,https://www.cls.cn/detail/2207484,2025-11-21,cls,0.82,人民同泰|九牧王|平潭发展|海峡创新,600829.SH|601566.SH|000592.SZ|300300.SZ,高位退潮|抱团瓦解,a_kill_failure|a_kill_failure|a_kill_failure|a_kill_failure,User-supplied CLS recap focused on consecutive limit-down and post-reopen failure cases.
art_cls_2025_2245628,【焦点复盘】银行等权重板块护盘，沪指追平日线连阳历史纪录,https://www.cls.cn/detail/2245628,2025-12-31,cls,0.82,嘉美包装|神剑股份|中国卫星|合兴包装|鹭燕医药,002969.SZ|002361.SZ|600118.SH|002228.SZ|002788.SZ,商业航天|高位分歧,failed_second_wave|break_then_reversal|break_then_reversal|a_kill_failure|high_open_low_close_failure,User-supplied CLS year-end recap with mixed failure and reversal outcomes.
art_eastmoney_2024_0918,【焦点复盘】沪指午后绝地反击重返2700点,https://wap.eastmoney.com/a/202409183184848754.html,2024-09-18,eastmoney,0.68,海南海药,000566.SZ,高位连板亏钱效应,a_kill_failure,User-supplied Eastmoney focus recap mentioning high-level loss-spreading case.
art_wscn_2024_0911,A股五张图：加速“A字杀”,https://wallstreetcn.com/articles/3727694,2024-09-11,wallstreetcn,0.72,新亚制程|好上好|老百姓|阳普医疗|天茂集团|保变电气,002388.SZ|001298.SZ|603883.SH|300030.SZ|000627.SZ|600550.SH,强势股A杀|反包, a_kill_failure|a_kill_failure|a_kill_failure|high_open_low_close_failure|break_then_reversal|break_then_reversal,User-supplied WallstreetCN recap covering A-kill and reversal examples.
art_2026_tencent_0512,涨停复盘：连板高标疯了！华电辽能19天10板,https://news.qq.com/rain/a/20260512A07K0H00,2026-05-12,news,0.70,金螳螂|华电辽能|大唐发电|通鼎互联|宝鼎科技|蒙娜丽莎,002081.SZ|600396.SH|601991.SH|002491.SZ|002552.SZ|002918.SZ,绿电|算电协同|连板高标,second_wave|second_wave|continuous_limit_up|continuous_limit_up|continuous_limit_up|continuous_limit_up,User-supplied Tencent recap expanding 2026 high-beta cases and 15天11板 line.
