stock_code,stock_name,review_universe_source,current_layer_status,manual_approval_status,frontend_review_status,evidence_count,page_citation_count,source_pdf_count,primary_source_supported,hard_tech_domain,supply_chain_role_hint,business_relevance_hint,bottleneck_or_chokepoint_hint,concept_pollution_risk,route_around_or_substitution_risk,value_capture_risk,disconfirmation_trigger,next_primary_source_to_check,strongest_primary_source_claim,weakest_or_riskiest_claim,evidence_summary_for_review,reviewer_decision,reviewer_note,used_for_signal,used_for_admission,auto_added_to_quality_pool,industry,concept_tags,evidence_strength,bottleneck_relevance,source_group,previous_tier,bottleneck_confidence_score,evidence_quality_score
000049,德赛电池,v5_hydrated,latent_standard_core_equivalent_quality_pool,pending_manual_approval,pending_review,48,18,3,True,strong,moderate,core_hard_tech_evidence_supported,strong,not_detected_in_existing_artifacts,moderate,strong,True,manual review of upgraded primary-source evidence before any future core-pool action,深圳市德赛电池科技股份有限公司 2025 年半年度报告全文 9 产计划并组织生产。储能电芯产品为标准化产品，公司综合评估客户需求与产能利用情况，制定生产计划 并组织生产。公司拥有完善的质量管控体系，生产自动化水平处于行业先进水平。 （3）销售模式 公司主要围绕行业排名前列的核心客户开展业务，采取直接销售模式，由终端客户直接向公司下单或 由终端客户指定的代工厂向公司下单。经过多年的发展，公司积累了大量的优质客户资源，与主要客户建 立了长期稳定的合作关系，积极广泛地参与客户产品项目的前期研发设计并实现销售。 4、公司行,深圳市德赛电池科技股份有限公司 2025 年半年度报告全文 9 产计划并组织生产。储能电芯产品为标准化产品，公司综合评估客户需求与产能利用情况，制定生产计划 并组织生产。公司拥有完善的质量管控体系，生产自动化水平处于行业先进水平。 （3）销售模式 公司主要围绕行业排名前列的核心客户开展业务，采取直接销售模式，由终端客户直接向公司下单或 由终端客户指定的代工厂向公司下单。经过多年的发展，公司积累了大量的优质客户资源，与主要客户建 立了长期稳定的合作关系，积极广泛地参与客户产品项目的前期研发设计并实现销售。 4、公司行,evidence=48; page_citations=18; sources=3; domain=strong; role=moderate; bottleneck=strong,,,False,False,False,电气机械和器材制造业,能源与电力电子关键环节 / 电网/能源基础设施 / bottleneck / latent_standard_core_equivalent_quality_pool,sufficient,core,latent_standard_primary_source_backfilled,Tier B,88,62
000400,许继电气,v5_hydrated,internal_quality_pool,pending_manual_approval,pending_review,44,21,3,True,strong,moderate,core_hard_tech_evidence_supported,strong,low,weak,strong,True,manual review of upgraded primary-source evidence before any future core-pool action,许继电气股份有限公司 2025 年半年度报告全文 10 智能变配电系统充分应用云计算、大数据、物联网、移动互联、人工智能等新一代信 息技术，结合能源互联网建设需求，搭建状态全面感知、设备全景诊断、故障智能自愈、 无人自主巡检、云边协同应用、信息互联共享的智慧变配电系统、物联网云平台，为电网、 交通、石化、工矿、智慧园区等领域提供自主可控、规划精准、运行高效、运维精益、服 务优质的变配电系统解决方案和成套设备。公司智能变配电系统主要产品包括继电保护系 统、变电站监控系统、智能变电站系统、工业调控系统、智能一二次融合设,许继电气股份有限公司 2025 年半年度报告全文 13 充换电设备及其它制造服务包括电动汽车充换电设备、加工制造服务等业务。面向电 动汽车充换电领域，提供智能充换电设备及整体解决方案，公司是目前国内技术水平较高 的电动汽车智能充换电系统制造商，拥有“国家能源主动配电网技术研发中心”。公司自 主研制的电力电源，拥有完全自主知识产权，采用标准模块化结构工艺，为电网、发电、 工业用电、轨道交通等领域提供稳定可靠的电源成套设备和技术服务。加工制造服务业务 包括机箱、机柜、户外箱体、开关机构、结构产品设计与制造、电子屏柜装联,evidence=44; page_citations=21; sources=3; domain=strong; role=moderate; bottleneck=strong,,,False,False,False,电气机械和器材制造业,能源与电力电子关键环节 / 电力电子/电网安全 / bottleneck / internal_quality_pool,strong,core,canonical_90_internal_manual_review,Tier A,55,23
000551,创元科技,v5_hydrated,false_negative_rescue_core_equivalent_quality_pool,pending_manual_approval,pending_review,42,21,3,True,strong,moderate,core_hard_tech_evidence_supported,strong,not_detected_in_existing_artifacts,moderate,strong,True,manual review of upgraded primary-source evidence before any future core-pool action,创元科技股份有限公司 2025 年半年度报告全文 12 元，同比增长 7.17%。主营业务收入较去年同期增长的企业为 90 家，占比 61.22%。主营业务收入较去 年同期下降的企业为 57 家，占比 38.78%。147 家企业完成轴承业务收入 491.35 亿元，同比增长 9.75%； 完成利润总额 56.12 亿元，同比增长 34.35%，利润总额较去年相比增长的企业占 59.86%，利润总额同 比下降企业占 37.41%，持平 4 家。 今年以来，机械工业价格形势依然严峻，3 月至 5 月出厂价格降幅始终在,创元科技股份有限公司 2025 年半年度报告全文 12 元，同比增长 7.17%。主营业务收入较去年同期增长的企业为 90 家，占比 61.22%。主营业务收入较去 年同期下降的企业为 57 家，占比 38.78%。147 家企业完成轴承业务收入 491.35 亿元，同比增长 9.75%； 完成利润总额 56.12 亿元，同比增长 34.35%，利润总额较去年相比增长的企业占 59.86%，利润总额同 比下降企业占 37.41%，持平 4 家。 今年以来，机械工业价格形势依然严峻，3 月至 5 月出厂价格降幅始终在,evidence=42; page_citations=21; sources=3; domain=strong; role=moderate; bottleneck=strong,,,False,False,False,专用设备制造业,高端制造装备 / 专用设备宽口径 / concept_only / false_negative_rescue_core_equivalent_quality_pool,strong,core,false_negative_rescue_backfilled,Excluded,81,63
000657,中钨高新,v5_hydrated,data_gap_core_equivalent_quality_pool,pending_manual_approval,pending_review,69,32,3,True,strong,moderate,core_hard_tech_evidence_supported,strong,not_detected_in_existing_artifacts,moderate,strong,True,manual review of upgraded primary-source evidence before any future core-pool action,中钨高新材料股份有限公司 2025 年半年度报告全文 7 （5）贸易及装备业务 3.应用领域 从终端领域来看，公司产品广泛应用于汽车制造、轨道交通、能源装备、矿山开采、基础建设及钢 铁冶金等传统工业领域，也在航空航天、新能源、人工智能、半导体与电子信息等新兴高端领域有广阔 的应用前景。 在航空航天领域，切削刀具广泛应用于航空结构件的高精度铣削，耐磨工具用于制造火箭发动机喷 嘴、燃气轮机叶片等高温高压部件。 在新能源汽车领域，切削刀具用于锂电池极耳切割、壳体精密加工等；硬质合金双极板涂层材料是 提升燃料电池性能的关键,中钨高新材料股份有限公司 2025 年半年度报告全文 7 （5）贸易及装备业务 3.应用领域 从终端领域来看，公司产品广泛应用于汽车制造、轨道交通、能源装备、矿山开采、基础建设及钢 铁冶金等传统工业领域，也在航空航天、新能源、人工智能、半导体与电子信息等新兴高端领域有广阔 的应用前景。 在航空航天领域，切削刀具广泛应用于航空结构件的高精度铣削，耐磨工具用于制造火箭发动机喷 嘴、燃气轮机叶片等高温高压部件。 在新能源汽车领域，切削刀具用于锂电池极耳切割、壳体精密加工等；硬质合金双极板涂层材料是 提升燃料电池性能的关键,evidence=69; page_citations=32; sources=3; domain=strong; role=moderate; bottleneck=strong,,,False,False,False,金属制品业,新材料 / AI服务器PCB/HBM材料 / beneficiary / data_gap_core_equivalent_quality_pool,strong,core,doubler_data_gap_primary_source_backfilled,Tier B,83,77
000811,冰轮环境,v5_hydrated,expansion_core_equivalent_quality_pool,pending_manual_approval,pending_review,51,24,3,True,strong,moderate,core_hard_tech_evidence_supported,strong,not_detected_in_existing_artifacts,moderate,strong,True,manual review of upgraded primary-source evidence before any future core-pool action,冰轮环境技术股份有限公司 2025 年半年度报告全文 8 第三节 管理层讨论与分析 一、报告期内公司从事的主要业务 公司以“推动全球可持续发展”为使命，致力于在人工环境控制技术和能源综合利用技术领域，为用户提供安全、 环保、节能的智慧绿色能源系统解决方案，以完善的智能制造和系统集成能力，满足用户专业化的定制需求。业务领域 涵盖工业制冷、暖通空调、绿能装备、精密成型、数智工业等。 公司主要产品系列有螺杆式压缩机、离心式压缩机、吸收式制冷机、活塞式压缩机、涡旋式压缩机、工业热泵、储 能蓄能装置、真空冻干设备、速冻装置、,冰轮环境技术股份有限公司 2025 年半年度报告全文 9 持战略定力，坚持长期主义，持续深耕，稳住存量，迎接当期增量，准备着迎接中期/远期的变量曙光。 （一）近年来全球算力基础建设热度高企，公司长于为数据中心提供冷源装备和热交换装置等温控冷却装备。 子公司顿汉布什控股有着十余年服务数据中心的经验和丰富的全球案例，继 2020 年 入选国家工信部《国家绿色数据中心先进适用技术产品目录》的“变频离心式冷水机组” “集成自然冷却功能的风冷螺杆冷水机组”等成熟产品外，去年新升级上市的 IDC 专版磁 悬浮系列产品和 Fan,evidence=51; page_citations=24; sources=3; domain=strong; role=moderate; bottleneck=strong,,,False,False,False,通用设备制造业,新材料 / AI服务器PCB/HBM材料 / bottleneck / expansion_core_equivalent_quality_pool,strong,core,expansion_2025_doubler_discovered,Tier A,89,67
000967,盈峰环境,v5_hydrated,false_negative_rescue_core_equivalent_quality_pool,pending_manual_approval,pending_review,37,25,3,True,strong,moderate,core_hard_tech_evidence_supported,strong,not_detected_in_existing_artifacts,moderate,strong,True,manual review of upgraded primary-source evidence before any future core-pool action,盈峰环境科技集团股份有限公司 2025 年半年度报告全文 10 固废处置，主要涵盖生活垃圾焚烧发电、生活垃圾填埋、污水处理、餐厨垃圾资源化利用、低碳再生资源回收利用、 固废循环产业园等业务。公司固废循环产业园以垃圾焚烧发电项目为核心，园内配置生活垃圾处置、危废处理、污泥处 理、餐厨垃圾处理、建筑垃圾处理、填埋场生态修复、渗滤液处理、飞灰处理等处理设施，各业务之间有机协同，一揽 子解决固废问题，经营模式主要为 PPP。 二、核心竞争力分析 报告期内公司核心竞争力未发生明显变化 1、研发领航优势——技术创新引领与行业标,盈峰环境科技集团股份有限公司 2025 年半年度报告全文 10 固废处置，主要涵盖生活垃圾焚烧发电、生活垃圾填埋、污水处理、餐厨垃圾资源化利用、低碳再生资源回收利用、 固废循环产业园等业务。公司固废循环产业园以垃圾焚烧发电项目为核心，园内配置生活垃圾处置、危废处理、污泥处 理、餐厨垃圾处理、建筑垃圾处理、填埋场生态修复、渗滤液处理、飞灰处理等处理设施，各业务之间有机协同，一揽 子解决固废问题，经营模式主要为 PPP。 二、核心竞争力分析 报告期内公司核心竞争力未发生明显变化 1、研发领航优势——技术创新引领与行业标,evidence=37; page_citations=25; sources=3; domain=strong; role=moderate; bottleneck=strong,,,False,False,False,专用设备制造业,高端制造装备 / 专用设备宽口径 / concept_only / false_negative_rescue_core_equivalent_quality_pool,strong,core,false_negative_rescue_backfilled,Excluded,82,65
001267,汇绿生态,v5_hydrated,expansion_core_equivalent_quality_pool,pending_manual_approval,pending_review,62,26,3,True,strong,moderate,core_hard_tech_evidence_supported,strong,not_detected_in_existing_artifacts,moderate,strong,True,manual review of upgraded primary-source evidence before any future core-pool action,汇绿生态科技集团股份有限公司 2025 年半年度报告全文 9 光模块产品品类繁多，一般可以按照传输速率、激光器类型、复用技术、适用光纤类型、封装形式等方式进行分类，具 体分类如下： 分类标准 光模块类别 特征 传输速率 10Gb/s 以下、10Gb/s、25Gb/s、100Gb/s、 200Gb/s、400Gb/s、800Gb/s、1.6Tb/s 等 指每秒传输比特数，通常传输速率越高，代表的技术难度 越高；光模块的发展方向之一是高传输速率 激光器类 型 VCSEL、FP、DFB、EML 适用于不同工作波长和应用场,汇绿生态科技集团股份有限公司 2025 年半年度报告全文 9 光模块产品品类繁多，一般可以按照传输速率、激光器类型、复用技术、适用光纤类型、封装形式等方式进行分类，具 体分类如下： 分类标准 光模块类别 特征 传输速率 10Gb/s 以下、10Gb/s、25Gb/s、100Gb/s、 200Gb/s、400Gb/s、800Gb/s、1.6Tb/s 等 指每秒传输比特数，通常传输速率越高，代表的技术难度 越高；光模块的发展方向之一是高传输速率 激光器类 型 VCSEL、FP、DFB、EML 适用于不同工作波长和应用场,evidence=62; page_citations=26; sources=3; domain=strong; role=moderate; bottleneck=strong,,,False,False,False,计算机、通信和其他电子设备制造业,光电与通信 / 光互联/光芯片 / bottleneck / expansion_core_equivalent_quality_pool,strong,core,expansion_2025_doubler_discovered,Tier B,89,71
001309,德明利,v5_hydrated,false_negative_rescue_core_equivalent_quality_pool,pending_manual_approval,pending_review,79,29,3,True,strong,moderate,core_hard_tech_evidence_supported,strong,not_detected_in_existing_artifacts,moderate,strong,True,manual review of upgraded primary-source evidence before any future core-pool action,深圳市德明利技术股份有限公司 2025 年半年度报告全文 15 势，公司发挥技术优势，已经推出了固态硬盘的国产化方案，覆盖企业级存储、消费级、工业级等规格，未来将持续加 快国产化平台认证导入进程，助力 SSD 国产化进程。 QLC NAND 应用方面，公司前瞻性地布局相关关键技术，包括针对 QLC NAND 介质特性开发的新一代纠错算法、压缩 技术、低功耗设计等，且公司新一代主控均高效支持 QLC NAND，实现 QLC 产品在传输速度、耐用性上有效提升。目前， 公司已经具备了成熟的 QLC NAND 商业应用能力,深圳市德明利技术股份有限公司 2025 年半年度报告全文 15 势，公司发挥技术优势，已经推出了固态硬盘的国产化方案，覆盖企业级存储、消费级、工业级等规格，未来将持续加 快国产化平台认证导入进程，助力 SSD 国产化进程。 QLC NAND 应用方面，公司前瞻性地布局相关关键技术，包括针对 QLC NAND 介质特性开发的新一代纠错算法、压缩 技术、低功耗设计等，且公司新一代主控均高效支持 QLC NAND，实现 QLC 产品在传输速度、耐用性上有效提升。目前， 公司已经具备了成熟的 QLC NAND 商业应用能力,evidence=79; page_citations=29; sources=3; domain=strong; role=moderate; bottleneck=strong,,,False,False,False,计算机、通信和其他电子设备制造业,半导体 / 电子/芯片/通信设备宽口径 / concept_only / false_negative_rescue_core_equivalent_quality_pool,strong,core,false_negative_rescue_backfilled,Excluded,82,77
001389,广合科技,v5_hydrated,data_gap_core_equivalent_quality_pool,pending_manual_approval,pending_review,62,22,3,True,strong,moderate,core_hard_tech_evidence_supported,strong,not_detected_in_existing_artifacts,moderate,strong,True,manual review of upgraded primary-source evidence before any future core-pool action,广州广合科技股份有限公司 2025 年半年度报告全文 11 欧洲 3.20% 7.40% 7.30% 7.60% 15.40% 1.60% 4.20% 4.30% 日本 3.40% 4.90% 8.60% 5.30% 8.70% 1.00% 3.40% 5.80% 中国 3.10% 6.70% 69.40% 14.20% 12.70% 4.30% 4.30% 8.50% 亚洲 10.00% 5.50% 35.50% 11.60% 5.00% 3.00% 4.30% 7.10% 总计 4.00% 6.10% 41.7,广州广合科技股份有限公司 2025 年半年度报告全文 13 进度监控：项目管理员针对项目实施计划书制订的时间节点，制定项目监控周报，针对每个项目的实施进度进行监 控； 验收：项目完成后，项目负责人编写项目验收总结报告，并提交项目组长或部门经理进行审核；项目管理员组织项 目验收，对于评审验收通过的项目， 视项目需要继续进行“新产品成果评审（鉴定）报告”和“新产品科技查新”； 归档：研发项目完成后，将产品技术资料、研发项目技术工作总结、量产可行性报告等资料归档。 （四） 主营业务分析 报告期内，受益于算力基础设施需求强,evidence=62; page_citations=22; sources=3; domain=strong; role=moderate; bottleneck=strong,,,False,False,False,计算机、通信和其他电子设备制造业,新材料 / AI服务器PCB/HBM材料 / beneficiary / data_gap_core_equivalent_quality_pool,strong,core,doubler_data_gap_primary_source_backfilled,Tier B,81,68
002008,大族激光,v5_hydrated,expansion_core_equivalent_quality_pool,pending_manual_approval,pending_review,76,33,3,True,strong,moderate,core_hard_tech_evidence_supported,strong,not_detected_in_existing_artifacts,moderate,strong,True,manual review of upgraded primary-source evidence before any future core-pool action,大族激光科技产业集团股份有限公司 2025 年半年度报告全文 10 极限制造产品为标准激光切割、焊接、打标设备等通用激光加工设备。通用激光加工设备主要应用于金属及非金 属材料的工业加工环节，凭借速度快、精度高、加工质量好等优势，逐步替代传统机械加工设备，大幅提高了工业加工 效率和品质。该业务的下游相对广泛且分散，应用于工程机械、建设机械、汽车配件、厨卫五金、电子电气、智能家居 等多个行业。 现阶段，行业专机和极限制造产品仍是公司主要的收入与利润来源。公司研发生产的紫外及超快激光器、高功率 光纤激光器、中低功率 CO,大族激光科技产业集团股份有限公司 2025 年半年度报告全文 10 极限制造产品为标准激光切割、焊接、打标设备等通用激光加工设备。通用激光加工设备主要应用于金属及非金 属材料的工业加工环节，凭借速度快、精度高、加工质量好等优势，逐步替代传统机械加工设备，大幅提高了工业加工 效率和品质。该业务的下游相对广泛且分散，应用于工程机械、建设机械、汽车配件、厨卫五金、电子电气、智能家居 等多个行业。 现阶段，行业专机和极限制造产品仍是公司主要的收入与利润来源。公司研发生产的紫外及超快激光器、高功率 光纤激光器、中低功率 CO,evidence=76; page_citations=33; sources=3; domain=strong; role=moderate; bottleneck=strong,,,False,False,False,专用设备制造业,新材料 / AI服务器PCB/HBM材料 / bottleneck / expansion_core_equivalent_quality_pool,strong,core,expansion_2025_doubler_discovered,Tier B,90,79
